日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2020/12/01,38341265,18719729411,489.5,490.0,483.5,490.0,+9.50,24827
2020/12/02,60208035,29970556095,499.5,500.0,493.5,499.0,+9.00,35624
2020/12/03,36919644,18369786608,499.5,499.5,495.0,497.0,-2.00,25651
2020/12/04,54471042,27307472890,498.5,505.0,497.5,503.0,+6.00,35708
2020/12/07,45493551,23243392840,512.0,515.0,506.0,514.0,+11.00,34767
2020/12/08,41830257,21673267551,514.0,525.0,509.0,524.0,+10.00,35895
2020/12/09,46831705,24416275048,521.0,524.0,520.0,520.0,-4.00,31749
2020/12/10,43991133,22516917355,511.0,515.0,510.0,512.0,-8.00,49079
2020/12/11,51296611,26259941709,517.0,517.0,505.0,516.0,+4.00,50929
2020/12/14,30809747,15703026732,512.0,513.0,508.0,508.0,-8.00,33415
2020/12/15,43059899,21780400998,507.0,510.0,504.0,504.0,-4.00,43967
2020/12/16,53661282,27504184031,509.0,515.0,507.0,512.0,+8.00,30574
2020/12/17,39285785,20052530030,515.0,515.0,508.0,508.0,X0.00,34785
2020/12/18,40625502,20690792789,508.0,512.0,507.0,510.0,+2.00,20638
2020/12/21,35153138,18033402498,512.0,517.0,508.0,516.0,+6.00,21765
2020/12/22,25632245,13125205685,512.0,516.0,509.0,509.0,-7.00,25973
2020/12/23,18320849,9321219765,508.0,511.0,506.0,509.0, 0.00,16428
2020/12/24,15218008,7759366699,511.0,512.0,508.0,510.0,+1.00,12743
2020/12/25,12581145,6449612552,514.0,515.0,510.0,511.0,+1.00,14988
2020/12/28,19520886,10023145125,512.0,515.0,509.0,515.0,+4.00,16675
2020/12/29,20226736,10409159045,515.0,517.0,513.0,515.0, 0.00,17187
2020/12/30,46705107,24306881615,516.0,525.0,514.0,525.0,+10.00,33173
2020/12/31,31173332,16437646054,526.0,530.0,524.0,530.0,+5.00,25138
2021/12/01,30119408,18021861252,596.0,603.0,594.0,600.0,+4.00,15695
2021/12/02,48720976,29780012954,605.0,615.0,602.0,615.0,+15.00,40629
2021/12/03,27571974,16798271782,614.0,614.0,606.0,608.0,-7.00,16197
2021/12/06,24474913,14740969839,603.0,609.0,600.0,600.0,-8.00,19139
2021/12/07,21105883,12704452330,602.0,607.0,597.0,607.0,+7.00,22160
2021/12/08,22194708,13490034097,614.0,614.0,602.0,602.0,-5.00,15634
2021/12/09,12467833,7554386680,606.0,608.0,602.0,608.0,+6.00,9231
2021/12/10,11371659,6874539365,605.0,608.0,602.0,605.0,-3.00,9215
2021/12/13,17994933,10887156003,609.0,610.0,601.0,601.0,-4.00,12503
2021/12/14,22997961,13757424386,598.0,600.0,597.0,599.0,-2.00,21324
2021/12/15,22419040,13420958112,597.0,601.0,596.0,600.0,+1.00,19195
2021/12/16,22151282,13370280179,605.0,605.0,601.0,605.0,X0.00,15515
2021/12/17,30319495,18339763894,601.0,607.0,599.0,607.0,+2.00,11667
2021/12/20,22381761,13446342438,607.0,607.0,598.0,598.0,-9.00,18943
2021/12/21,17669559,10560361874,597.0,600.0,595.0,597.0,-1.00,17336
2021/12/22,10127887,6067689422,598.0,601.0,598.0,600.0,+3.00,8238
2021/12/23,16910501,10238270336,607.0,608.0,602.0,606.0,+6.00,12888
2021/12/24,12008673,7276331245,606.0,609.0,604.0,604.0,-2.00,10444
2021/12/27,16771900,10193462167,604.0,610.0,604.0,606.0,+2.00,16637
2021/12/28,35156339,21569506434,610.0,615.0,610.0,615.0,+9.00,36241
2021/12/29,25604320,15788043027,615.0,619.0,614.0,616.0,+1.00,28804
2021/12/30,20522055,12654016133,619.0,620.0,615.0,615.0,-1.00,15565
2022/12/01,43684491,21976936461,506.0,508.0,498.5,498.5,+8.50,46181
2022/12/02,29909021,14745810388,490.0,497.0,490.0,492.5,-6.00,31799
2022/12/05,33048153,16272219716,491.5,497.5,489.0,489.0,-3.50,31739
2022/12/06,44964237,21703863181,488.0,489.0,478.0,478.0,-11.00,44448
2022/12/07,39978821,19128832587,477.0,485.5,475.0,475.0,-3.00,43603
2022/12/08,28348573,13366736635,475.0,475.0,467.0,471.5,-3.50,45114
2022/12/09,28903860,13881674073,478.0,484.5,476.0,481.5,+10.00,25790
2022/12/12,24064002,11435789974,476.5,478.0,473.5,475.0,-6.50,34393
2022/12/13,36028109,17034191389,473.0,476.0,471.0,471.5,-3.50,36559
2022/12/14,35263781,16860500181,472.0,480.5,472.0,480.5,+9.00,25102
2022/12/15,26001756,12446105928,476.0,481.5,474.5,480.5,X0.00,21052
2022/12/16,51707693,24262026661,466.5,471.0,465.5,471.0,-9.50,69011
2022/12/19,24231653,11320207884,466.5,469.5,465.0,466.5,-4.50,30247
2022/12/20,33181363,15291302176,465.0,467.0,455.0,457.5,-9.00,59543
2022/12/21,40831313,18763874901,460.0,463.0,457.0,459.0,+1.50,31581
2022/12/22,14519582,6784664988,466.5,469.0,464.0,468.0,+9.00,16893
2022/12/23,26724153,12200056423,457.5,458.5,455.0,455.0,-13.00,63532
2022/12/26,9152790,4171194858,454.0,457.0,453.5,456.5,+1.50,16718
2022/12/27,10486219,4820155221,458.0,462.5,457.0,457.0,+0.50,13482
2022/12/28,34823492,15643266841,451.0,452.0,446.0,451.0,-6.00,59400
2022/12/29,25596357,11400284554,444.0,449.5,442.5,446.0,-5.00,34637
2022/12/30,22297604,10079102379,455.0,456.5,448.5,448.5,+2.50,23086
2023/12/01,28797795,16600169332,573.0,579.0,573.0,579.0,+2.00,18507
2023/12/04,29424299,16917950637,582.0,582.0,571.0,574.0,-5.00,23004
2023/12/05,27355530,15570195609,571.0,572.0,567.0,570.0,-4.00,26933
2023/12/06,23116422,13197098680,568.0,575.0,568.0,570.0, 0.00,15802
2023/12/07,24259384,13786125780,570.0,573.0,566.0,566.0,-4.00,26821
2023/12/08,39243978,22520643109,574.0,577.0,570.0,570.0,+4.00,23505
2023/12/11,29204446,16730528425,572.0,575.0,570.0,574.0,+4.00,19353
2023/12/12,32856787,19003744361,580.0,581.0,575.0,578.0,+4.00,22572
2023/12/13,24327758,14033215240,576.0,579.0,576.0,577.0,-1.00,18524
2023/12/14,40580966,23556973793,581.0,582.0,579.0,582.0,X0.00,33409
2023/12/15,58693166,34304458160,585.0,586.0,580.0,585.0,+3.00,35791
2023/12/18,26938728,15672718097,579.0,585.0,577.0,585.0, 0.00,22094
2023/12/19,30591879,17885392353,588.0,588.0,580.0,585.0, 0.00,21981
2023/12/20,38628249,22578626040,587.0,587.0,583.0,585.0, 0.00,25685
2023/12/21,26007263,14995966443,577.0,579.0,575.0,577.0,-8.00,33077
2023/12/22,19328302,11226845287,582.0,582.0,579.0,582.0,+5.00,14330
