日期,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,RSI,MACD,MACD_Signal
2022-02-08,645.0,645.0,628.0,628.0,638.6,648.4,649.3,43.69747899159664,-0.21734697745068843,3.615544042751319
2022-02-09,635.0,637.0,630.0,633.0,634.6,643.4,649.4,42.24137931034483,-1.062199626879078,2.6799953088252395
2022-02-10,639.0,649.0,637.0,649.0,636.2,642.1,649.05,45.52845528455285,-0.43566310290543697,2.0568636264791045
2022-02-11,646.0,650.0,642.0,650.0,639.0,641.7,649.05,45.52845528455285,0.1399499925486225,1.6734808996930082
2022-02-14,640.0,641.0,635.0,637.0,639.4,640.3,648.7,36.0,-0.44770299525862356,1.249244120702682
2022-02-15,633.0,639.0,633.0,633.0,640.4,639.5,648.65,28.813559322033896,-1.222101170945166,0.7549750623731126
2022-02-16,645.0,646.0,640.0,646.0,643.0,638.8,648.8,42.72727272727273,-0.777859272455089,0.44840819540747234
2022-02-17,644.0,646.0,641.0,645.0,642.2,639.2,648.5,45.63106796116505,-0.5007140896215105,0.25858373840167576
2022-02-18,638.0,639.0,636.0,637.0,639.6,639.3,647.35,43.518518518518526,-0.916048045069715,0.023657381707397618
2022-02-21,633.0,636.0,632.0,632.0,638.6,639.0,645.9,45.63106796116505,-1.6298732461178815,-0.30704874385765824
2022-02-22,628.0,630.0,625.0,627.0,637.4,638.9,643.65,36.458333333333336,-2.569424349547603,-0.7595238649956473
2022-02-23,624.0,629.0,623.0,625.0,633.2,638.1,640.75,40.69767441860465,-3.4358028567982046,-1.2947796633561588
2022-02-24,618.0,619.0,604.0,604.0,625.0,633.6,637.85,34.31372549019608,-5.750648663256129,-2.185953463336153
2022-02-25,600.0,609.0,600.0,604.0,618.4,629.0,635.35,34.65346534653466,-7.498739837395533,-3.2485107381480294
2022-03-01,599.0,610.0,599.0,604.0,612.8,625.7,633.0,37.234042553191486,-8.782871214998863,-4.355382833518196
2022-03-02,601.0,605.0,600.0,601.0,607.6,622.5,631.0,32.60869565217391,-9.928183591012726,-5.469942985017102
2022-03-03,603.0,607.0,601.0,602.0,603.0,618.1,628.45,19.480519480519476,-10.63259432901782,-6.5024732538172465
